code,name,brand,image,category,stores,generic,taxonomy_l3,taxonomy_l2
4260322215568,Hack (vegan) - Simply V,Greenforce,https://images.openfoodfacts.org/images/products/426/032/221/5568/front_de.16.200.jpg,vorrat,rewe,Hackfleisch vegan,hackfleisch-vegan,fleischersatz
4061459674231,Nougat Bits,Golden Bridge,https://images.openfoodfacts.org/images/products/406/145/967/4231/front_de.4.200.jpg,fruehstueck-aufstrich,aldi,Frühstückscerealien gefüllt,cerealien,fruehstueck-aufstrich
4337256651684,Joghurt mild 3.5% Fett,REWE Beste Wahl,https://images.openfoodfacts.org/images/products/433/725/665/1684/front_de.3.200.jpg,milch-eier,rewe,Joghurt,naturjoghurt,joghurt
4337256601887,Blütenhonig (flüssig),REWE Bio,https://images.openfoodfacts.org/images/products/433/725/660/1887/front_de.20.200.jpg,fruehstueck-aufstrich,rewe,Blütenhonig,bluetenhonig,honig
4066447503722,Gemüse Ravioli in Tomatensauce,dmBio,https://images.openfoodfacts.org/images/products/406/644/750/3722/front_de.3.200.jpg,vorrat,dm,Ravioli Gemüse,ravioli,nudeln
4061459719338,Gegrillte Thunmakrelen-Filets - Classic,Aldi,https://images.openfoodfacts.org/images/products/406/145/971/9338/front_de.7.200.jpg,fleisch-fisch,aldi,Makrelenfilets,makrelenfilet-geraeuchert,raeucherfisch
4260444962807,Gerieben Pizza,Simply V,https://images.openfoodfacts.org/images/products/426/044/496/2807/front_de.15.200.jpg,sonstiges,rewe,Reibekäse vegan,reibekaese-vegan,kaese-alternativen
4061464596610,Geriffelte Chips - Salz,Sun Snacks,https://images.openfoodfacts.org/images/products/406/146/459/6610/front_de.17.200.jpg,suesses-knabberei,aldi,Kartoffelchips geriffelt,kartoffelchips,chips-knabbergebaeck
4066447562644,DM Bio Linsenwaffeln 100g 1.35€ 1kg 13.50€,DM,https://images.openfoodfacts.org/images/products/406/644/756/2644/front_de.13.200.jpg,vorrat,dm,Linsenwaffeln,linsenwaffeln,salzgebaeck
4056489997511,Bio Hafer,VEMONDO BIO,https://images.openfoodfacts.org/images/products/405/648/999/7511/front_de.100.200.jpg,getraenke,lidl,Haferdrink,haferdrink,pflanzendrink
4061462051012,Veggie Hack,Aldi,https://images.openfoodfacts.org/images/products/406/146/205/1012/front_de.19.200.jpg,sonstiges,aldi,Hack vegan,hackfleisch-vegan,fleischersatz
4061459712001,Pinsa,Cucina,https://images.openfoodfacts.org/images/products/406/145/971/2001/front_de.30.200.jpg,brot-gebaeck,aldi,Pinsa,fladenbrot,fladenbrot-wraps
4061464911895,Zarte Haferflocken,Golden Bridge,https://images.openfoodfacts.org/images/products/406/146/491/1895/front_de.3.200.jpg,fruehstueck-aufstrich,aldi,Haferflocken zart,haferflocken,haferflocken-getreideflocken
4311501024478,Thun-wie'n-fisch,Edeka,https://images.openfoodfacts.org/images/products/431/150/102/4478/front_de.8.200.jpg,fleisch-fisch,edeka,Thunfisch vegan,fischersatz-vegan,fleischersatz
4026400200990,Butter Alternative,Eleplant,https://images.openfoodfacts.org/images/products/402/640/020/0990/front_de.6.200.jpg,milch-eier,rewe,Butter vegan,streichfett,butter-streichfett
4056489932796,Konjak Reis,vitasia,https://images.openfoodfacts.org/images/products/405/648/993/2796/front_de.20.200.jpg,vorrat,lidl,Konjakreis,konjakreis,reis
4066447395143,Toast Brötchen mit Roggenvollkorn,dmBio,https://images.openfoodfacts.org/images/products/406/644/739/5143/front_de.15.200.jpg,brot-gebaeck,dm,Toastbrötchen Vollkorn,toastbroetchen,toastbrot
4337256620604,Margherita Steinhofen Pizza,Freiberger Lebensmittel,https://images.openfoodfacts.org/images/products/433/725/662/0604/front_de.10.200.jpg,tiefkuehl,rewe,Pizza Margherita,pizza-margherita,pizza
4056489988083,vegane Burger Pattys,Vemondo,https://images.openfoodfacts.org/images/products/405/648/998/8083/front_de.25.200.jpg,sonstiges,lidl,Burger Patty vegan,burger-vegan,fleischersatz
4311501016145,"EDEKA GUT&GÜNSTIG Tortilla Wraps Vollkorn 370g 1,29€ 1kg 3,49",EDEKA GUT.& GÜNSTIG,https://images.openfoodfacts.org/images/products/431/150/101/6145/front_de.3.200.jpg,sonstiges,edeka,Tortilla Wraps Vollkorn,wrap,fertiggerichte
4061459725124,Himbeere Konfitüre Extra,Grandessa,https://images.openfoodfacts.org/images/products/406/145/972/5124/front_de.36.200.jpg,fruehstueck-aufstrich,aldi,Himbeerkonfitüre,himbeerkonfituere,fruchtaufstrich-mus
8720182708298,Vegan Mayo,Hellmann's,https://images.openfoodfacts.org/images/products/872/018/270/8298/front_de.3.200.jpg,gewuerze-saucen,rewe,Mayonnaise vegan,mayonnaise,mayonnaise-dip
4000540001501,Hafer Müsli Beere Apfel,Kölln,https://images.openfoodfacts.org/images/products/400/054/000/1501/front_de.3.200.jpg,fruehstueck-aufstrich,edeka,Müsli Beere Apfel,fruechtemuesli,muesli
4061464836297,Basis Müsli 5-Kornmix,GUT Bio,https://images.openfoodfacts.org/images/products/406/146/483/6297/front_de.3.200.jpg,fruehstueck-aufstrich,aldi,Müsli Basis,basismuesli,muesli
4061464792258,Bio-Müsli - Apfel-Mandel-Urkorn,Aldi,https://images.openfoodfacts.org/images/products/406/146/479/2258/front_de.6.200.jpg,fruehstueck-aufstrich,aldi,Müsli Apfel Mandel,nussmuesli,muesli
4020500920819,Bratheringe,Appel,https://images.openfoodfacts.org/images/products/402/050/092/0819/front_de.45.200.jpg,fleisch-fisch,edeka|rewe|aldi,Bratheringe,bratheringe,fischkonserven
4071800058801,Eiweiss Sandwich,Harry,https://images.openfoodfacts.org/images/products/407/180/005/8801/front_de.60.200.jpg,brot-gebaeck,rewe,Eiweißbrot,eiweissbrot,brot
4337256619257,Kesselchips Salt & Vinegar,RBW,https://images.openfoodfacts.org/images/products/433/725/661/9257/front_de.29.200.jpg,suesses-knabberei,rewe,Kartoffelchips Salt Vinegar,kartoffelchips,chips-knabbergebaeck
4000582188093,Hähnchenbrust Chicken Sweet Chili,Herta,https://images.openfoodfacts.org/images/products/400/058/218/8093/front_de.17.200.jpg,fleisch-fisch,rewe,Hähnchenbrust Aufschnitt,gefluegelwurst,wurst-aufschnitt
